can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num,dissem_dt
 ,"Carson, Ben",C00569905,2016 COMMITTEE; THE,P, ,00,P, ,"$4,000.00", ,"$54,300.00",Support,Skywalk Panels with Brochure Distribution,Media USA,1031735,N,WFT2015104917-1,201511049003281663,11/04/2015, ,11/02/2015
 ,"Rubin, Joel",C00587659,A NEW VOICE FOR MARYLAND,P,MD,08,H, ,"$2,000.00",02/27/2016,"$37,000.00",Support,Advertising - Internet,Digital Turf LLC,1055042,N,SE.4128,201603129009737158,03/12/2016, ,03/11/2016
 ,"Rubin, Joel",C00587659,A NEW VOICE FOR MARYLAND,P,MD,08,H, ,"$35,000.00",02/10/2016,"$35,000.00",Support,Advertising - Internet,Digital Turf LLC,1050961,N,SE.4123,201602199008501584,02/19/2016, ,02/17/2016
S6AR00132,"ELDRIDGE, CONNER",C00592527,AMERICA ASCENDANT PAC,G,AR,00,S,Dem,"$14,703.00",03/08/2016,"$14,703.00",Oppose,Advertising - TV,OnMessage Inc,1054395,N,SE.4168,201603099009685654,03/09/2016, ,03/08/2016
S0AR00150,"BOOZMAN, JOHN",C00592527,AMERICA ASCENDANT PAC,G,AR,00,S,Rep,"$102,810.91",03/22/2016,"$168,098.91",Support,Advertising - TV,OnMessage Inc,1057181,N,SE.4186,201603249011956997,03/24/2016, ,03/22/2016
S0AR00150,"BOOZMAN, JOHN",C00592527,AMERICA ASCENDANT PAC,G,AR,00,S,Rep,"$50,000.00",02/25/2016,"$50,000.00",Support,Advertising - Digital,"NexGen Marketing, LLC",1057181,N,SE.4179,201603249011956997,03/24/2016, ,03/22/2016
S0AR00150,"BOOZMAN, JOHN",C00592527,AMERICA ASCENDANT PAC,G,AR,00,S,Rep,"$11,995.00",03/22/2016,"$180,093.91",Support,Advertising - TV (Production and Distribution),OnMessage Inc,1057181,N,SE.4187,201603249011956998,03/24/2016, ,03/22/2016
S6AR00132,"ELDRIDGE, CONNER",C00592527,AMERICA ASCENDANT PAC,G,AR,00,S,Dem,"$15,288.00",03/08/2016,"$65,288.00",Oppose,Advertising - TV,OnMessage Inc,1057141,A1,SE.4184,201603239011955924,03/23/2016,1054395,03/08/2016
P60008398,"Jindal, Bobby",C90015439,AMERICA NEXT INC,P,IA,00,P,Rep,"$12,016.86",07/15/2015,"$0.00",Support,Television Ad Production,OnMessage Inc.,1020434,A1,F57.000003,201508059000801949,08/05/2015,1016536, 
P60008398,"Jindal, Bobby",C90015439,AMERICA NEXT INC,P,IA,00,P,Rep,"$3,725.00",07/14/2015,"$3,725.00",Support,Television Ad Placement,OnMessage Inc.,1020434,A1,F57.000001,201508059000801949,08/05/2015,1016536, 
 ,"Jindal, Bobby",C90015439,AMERICA NEXT INC,P,IA,00,P, ,"$376,907.00",07/15/2015,"$380,632.00",Support,Television Ad Placement,OnMessage Inc.,1041095,A2,F57.000002,201601209004549528,01/20/2016,1020434, 
 ,"Jindal, Bobby",C90015439,AMERICA NEXT INC,P,IA,00,P, ,"$12,016.86",07/15/2015,"$392,648.86",Support,Television Ad Production,OnMessage Inc.,1041095,A2,F57.000003,201601209004549528,01/20/2016,1020434, 
P60008398,"Jindal, Bobby",C90015439,AMERICA NEXT INC,P,IA,00,P,Rep,"$324,795.00",07/15/2015,"$328,520.00",Support,Television Ad Placement,OnMessage Inc.,1020434,A1,F57.000002,201508059000801949,08/05/2015,1016536, 
 ,"Jindal, Bobby",C90015439,AMERICA NEXT INC,P,IA,00,P, ,"$3,725.00",07/14/2015,"$3,725.00",Support,Television Ad Placement,OnMessage Inc.,1041095,A2,F57.000001,201601209004549528,01/20/2016,1020434, 
P60007168,"SANDERS, BERNARD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$3,503.64",01/19/2016,"$157,477.66",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4289,201602249009621256,02/24/2016, , 
P60007242,"FIORINA, CARLY",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$142,591.47",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4271,201602249009621253,02/24/2016, , 
P60007671,"O'MALLEY, MARTIN JOSEPH",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$3,503.64",01/19/2016,"$160,981.30",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4291,201602249009621257,02/24/2016, , 
P60008059,"BUSH, JEB",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$139,214.79",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4265,201602249009621252,02/24/2016, , 
P60008521,"CHRISTIE, CHRISTOPHER J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$141,465.91",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4269,201602249009621253,02/24/2016, , 
P80001571,"TRUMP, DONALD J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$148,219.26",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4281,201602249009621255,02/24/2016, , 
P80003478,"HUCKABEE, MIKE",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$143,717.03",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4273,201602249009621254,02/24/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$2,100.00",01/02/2016,"$33,300.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4145,201602249009621213,02/24/2016, , 
P20002721,"SANTORUM, RICHARD J.",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$21,000.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4137,201602249009621212,02/24/2016, , 
P40003576,"PAUL, RAND",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$4,200.00",Oppose,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4120,201602249009621209,02/24/2016, , 
P60003670,"KASICH, JOHN R",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$16,800.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4133,201602249009621211,02/24/2016, , 
P60005915,"CARSON, BENJAMIN S SR MD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$8,400.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4125,201602249009621210,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$2,100.00",Oppose,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4121,201602249009621209,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$6,000.00",01/02/2016,"$29,100.00",Oppose,Digital Advertisement,Smoot Tewes Group LLC,1052028,N,F57.4141,201602249009621209,02/24/2016, , 
P60006723,"RUBIO, MARCO",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$18,900.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4135,201602249009621212,02/24/2016, , 
P60007168,"SANDERS, BERNARD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$2,100.00",01/02/2016,"$35,400.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4147,201602249009621213,02/24/2016, , 
P60007242,"FIORINA, CARLY",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$12,600.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4129,201602249009621211,02/24/2016, , 
P60007572,"PATAKI, GEORGE E",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$31,200.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4143,201602249009621213,02/24/2016, , 
P60007671,"O'MALLEY, MARTIN JOSEPH",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$2,100.00",01/02/2016,"$37,500.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4149,201602249009621214,02/24/2016, , 
P60008059,"BUSH, JEB",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$6,300.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4123,201602249009621210,02/24/2016, , 
P60008521,"CHRISTIE, CHRISTOPHER J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$10,500.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4127,201602249009621210,02/24/2016, , 
P80001571,"TRUMP, DONALD J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$23,100.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4139,201602249009621212,02/24/2016, , 
P80003478,"HUCKABEE, MIKE",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,100.00",01/02/2016,"$14,700.00",Support,Direct Mail,"WildFire Contact, LLC",1052028,N,F57.4131,201602249009621211,02/24/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$158.58",01/05/2016,"$39,720.13",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4178,201602249009621220,02/24/2016, , 
P20002721,"SANTORUM, RICHARD J.",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.22",01/05/2016,"$40,360.87",Support,Banner,"WildFire Contact, LLC",1052029,N,F57.4201,201602249009621224,02/24/2016, , 
P20002721,"SANTORUM, RICHARD J.",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$39,085.81",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4170,201602249009621219,02/24/2016, , 
P40003576,"PAUL, RAND",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.22",01/05/2016,"$39,975.15",Oppose,Banner,"WildFire Contact, LLC",1052029,N,F57.4184,201602249009621221,02/24/2016, , 
P40003576,"PAUL, RAND",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$37,817.17",Oppose,Literature,"WildFire Contact, LLC",1052029,N,F57.4154,201602249009621216,02/24/2016, , 
P60003670,"KASICH, JOHN R",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.22",01/05/2016,"$40,264.43",Support,Banner,"WildFire Contact, LLC",1052029,N,F57.4197,201602249009621223,02/24/2016, , 
P60003670,"KASICH, JOHN R",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$38,768.65",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4166,201602249009621218,02/24/2016, , 
P60005915,"CARSON, BENJAMIN S SR MD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.21",01/05/2016,"$40,071.58",Support,Banner,"WildFire Contact, LLC",1052029,N,F57.4188,201602249009621222,02/24/2016, , 
P60005915,"CARSON, BENJAMIN S SR MD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$38,134.33",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4158,201602249009621217,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.22",01/05/2016,"$39,926.93",Oppose,Banner,"WildFire Contact, LLC",1052029,N,F57.4182,201602249009621221,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.22",01/05/2016,"$40,457.31",Oppose,Banner,"WildFire Contact, LLC",1052029,N,F57.4205,201602249009621224,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$39,402.97",Oppose,Literature,"WildFire Contact, LLC",1052029,N,F57.4174,201602249009621219,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.59",01/05/2016,"$37,658.59",Oppose,Literature,"WildFire Contact, LLC",1052029,N,F57.4152,201602249009621216,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$429.44",01/05/2016,"$51,309.35",Oppose,Robo Calls,"WildFire Contact, LLC",1052029,N,F57.4213,201602249009621226,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,422.60",01/05/2016,"$41,879.91",Oppose,Direct Mail,"WildFire Contact, LLC",1052029,N,F57.4207,201602249009621225,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$9,000.00",01/05/2016,"$50,879.91",Oppose,Direct Mail,"WildFire Contact, LLC",1052029,N,F57.4209,201602249009621225,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$9,000.00",01/05/2016,"$60,309.35",Oppose,Direct Mail,"WildFire Contact, LLC",1052029,N,F57.4212,201602249009621225,02/24/2016, , 
P60006723,"RUBIO, MARCO",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.22",01/05/2016,"$40,312.65",Support,Banner,"WildFire Contact, LLC",1052029,N,F57.4199,201602249009621223,02/24/2016, , 
P60006723,"RUBIO, MARCO",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$38,927.23",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4168,201602249009621218,02/24/2016, , 
P60007168,"SANDERS, BERNARD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$158.58",01/05/2016,"$39,878.71",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4180,201602249009621220,02/24/2016, , 
P60007242,"FIORINA, CARLY",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.21",01/05/2016,"$40,168.00",Support,Banner,"WildFire Contact, LLC",1052029,N,F57.4192,201602249009621222,02/24/2016, , 
P60007242,"FIORINA, CARLY",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$38,451.49",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4162,201602249009621217,02/24/2016, , 
P60007671,"O'MALLEY, MARTIN JOSEPH",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$158.58",01/05/2016,"$39,561.55",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4176,201602249009621220,02/24/2016, , 
P60008059,"BUSH, JEB",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.22",01/05/2016,"$40,023.37",Support,Banner,"WildFire Contact, LLC",1052029,N,F57.4186,201602249009621221,02/24/2016, , 
P60008059,"BUSH, JEB",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$37,975.75",Oppose,Literature,"WildFire Contact, LLC",1052029,N,F57.4156,201602249009621216,02/24/2016, , 
P60008521,"CHRISTIE, CHRISTOPHER J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.21",01/05/2016,"$40,119.79",Support,Banner,"WildFire Contact, LLC",1052029,N,F57.4190,201602249009621222,02/24/2016, , 
P60008521,"CHRISTIE, CHRISTOPHER J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$38,292.91",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4160,201602249009621217,02/24/2016, , 
P80001571,"TRUMP, DONALD J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.22",01/05/2016,"$40,409.09",Support,Banner,"WildFire Contact, LLC",1052029,N,F57.4203,201602249009621224,02/24/2016, , 
P80001571,"TRUMP, DONALD J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$39,244.39",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4172,201602249009621219,02/24/2016, , 
P80003478,"HUCKABEE, MIKE",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$48.21",01/05/2016,"$40,216.21",Support,Banner,"WildFire Contact, LLC",1052029,N,F57.4195,201602249009621223,02/24/2016, , 
P80003478,"HUCKABEE, MIKE",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$158.58",01/05/2016,"$38,610.07",Support,Literature,"WildFire Contact, LLC",1052029,N,F57.4164,201602249009621218,02/24/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$205.32",01/05/2016,"$63,183.91",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4243,201602249009621232,02/24/2016, , 
P20002721,"SANTORUM, RICHARD J.",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.32",01/05/2016,"$62,362.63",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4235,201602249009621231,02/24/2016, , 
P40003576,"PAUL, RAND",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.33",01/05/2016,"$60,720.01",Oppose,Newpaper Advertisement,Herald Publishing Company,1052030,N,F57.4219,201602249009621228,02/24/2016, , 
P60003670,"KASICH, JOHN R",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.33",01/05/2016,"$61,951.99",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4231,201602249009621230,02/24/2016, , 
P60005915,"CARSON, BENJAMIN S SR MD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.33",01/05/2016,"$61,130.67",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4223,201602249009621229,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.33",01/05/2016,"$60,514.68",Oppose,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4217,201602249009621228,02/24/2016, , 
P60006723,"RUBIO, MARCO",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.32",01/05/2016,"$62,157.31",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4233,201602249009621230,02/24/2016, , 
P60007168,"SANDERS, BERNARD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$205.32",01/05/2016,"$63,389.23",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4246,201602249009621232,02/24/2016, , 
P60007242,"FIORINA, CARLY",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.33",01/05/2016,"$61,541.33",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4227,201602249009621229,02/24/2016, , 
P60007572,"PATAKI, GEORGE E",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.32",01/05/2016,"$62,773.27",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4239,201602249009621231,02/24/2016, , 
P60007671,"O'MALLEY, MARTIN JOSEPH",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$205.32",01/05/2016,"$62,978.59",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4241,201602249009621232,02/24/2016, , 
P60008059,"BUSH, JEB",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.33",01/05/2016,"$60,925.34",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4221,201602249009621228,02/24/2016, , 
P60008521,"CHRISTIE, CHRISTOPHER J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.33",01/05/2016,"$61,336.00",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4225,201602249009621229,02/24/2016, , 
P80001571,"TRUMP, DONALD J",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.32",01/05/2016,"$62,567.95",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4237,201602249009621231,02/24/2016, , 
P80003478,"HUCKABEE, MIKE",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$205.33",01/05/2016,"$61,746.66",Support,Newspaper Advertisement,Herald Publishing Company,1052030,N,F57.4229,201602249009621230,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$9,000.00",01/11/2016,"$72,389.23",Oppose,Direct Mail,"WildFire Contact, LLC",1052032,N,F57.4249,201602249009621238,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$9,000.00",01/11/2016,"$81,389.23",Oppose,Direct Mail,"WildFire Contact, LLC",1052032,N,F57.4251,201602249009621238,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$2,700.00",01/15/2016,"$120,089.23",Oppose,Advertisement,Iowa Farner Today,1052034,N,F57.4258,201602249009621250,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$36,000.00",01/14/2016,"$117,389.23",Oppose,Digital Advertising,Smoot Tewes Group LLC,1052034,N,F57.4254,201602249009621250,02/24/2016, , 
P00003392,"CLINTON, HILLARY RODHAM",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$3,503.64",01/19/2016,"$153,974.02",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4287,201602249009621256,02/24/2016, , 
P20002721,"SANTORUM, RICHARD J.",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.55",01/19/2016,"$147,093.70",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4279,201602249009621255,02/24/2016, , 
P40003576,"PAUL, RAND",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$150,470.38",Oppose,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4285,201602249009621256,02/24/2016, , 
P60003670,"KASICH, JOHN R",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$144,842.59",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4275,201602249009621254,02/24/2016, , 
P60005915,"CARSON, BENJAMIN S SR MD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$140,340.35",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4267,201602249009621253,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$149,344.82",Oppose,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4283,201602249009621255,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$9,000.00",01/19/2016,"$129,089.23",Oppose,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4261,201602249009621252,02/24/2016, , 
P60006111,"CRUZ, RAFAEL EDWARD 'TED'",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$9,000.00",01/19/2016,"$138,089.23",Oppose,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4263,201602249009621252,02/24/2016, , 
P60006723,"RUBIO, MARCO",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,125.56",01/19/2016,"$145,968.15",Support,Direct Mail,"WildFire Contact, LLC",1052035,N,F57.4277,201602249009621254,02/24/2016, , 
P60006723,"RUBIO, MARCO",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$516.82",01/26/2016,"$245,612.53",Support,Newspaper Advertisement,Herald Publishing Company,1054753,N,F57.4450,201603119009735141,03/11/2016, , 
P60006723,"RUBIO, MARCO",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$819.57",01/26/2016,"$236,346.46",Support,Direct Mail,Christian Printing,1054753,N,F57.4416,201603119009735136,03/11/2016, , 
P60006723,"RUBIO, MARCO",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Rep,"$1,575.00",01/26/2016,"$265,004.73",Support,Direct Mail,"WildFire Contact, LLC",1054753,N,F57.4480,201603119009735146,03/11/2016, , 
P60007168,"SANDERS, BERNARD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$516.74",01/26/2016,"$247,679.73",Support,Newspaper Advertisement,Herald Publishing Company,1054753,N,F57.4458,201603119009735143,03/11/2016, , 
P60007168,"SANDERS, BERNARD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$516.82",01/26/2016,"$247,162.99",Support,Newspaper Advertisement,Herald Publishing Company,1054753,N,F57.4456,201603119009735142,03/11/2016, , 
P60007168,"SANDERS, BERNARD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$819.58",01/26/2016,"$240,444.33",Support,Direct Mail,Christian Printing,1054753,N,F57.4428,201603119009735138,03/11/2016, , 
P60007168,"SANDERS, BERNARD",C90015678,AMERICA'S RENEWABLE FUTURE INC,P,IA,00,P,Dem,"$1,575.00",01/26/2016,"$252,404.73",Support,DIrect Mail,"WildFire Contact, LLC",1054753,N,F57.4464,201603119009735144,03/11/2016, , 
